aya_id,page,x,y
508,80,85,234
509,80,86,373
510,80,352,582
511,80,274,793
512,80,85,1073
513,81,448,234
514,81,86,305
515,81,591,516
516,81,87,1076
517,82,586,446
518,82,86,940
519,82,85,1080
520,83,295,158
521,83,312,228
522,83,334,439
523,83,614,580
524,83,84,653
525,83,603,931
526,83,85,1072
527,84,356,440
528,84,605,650
529,84,281,930
530,84,86,1076
531,85,628,232
532,85,272,302
533,85,529,441
534,85,324,511
535,85,560,653
536,85,425,1005
537,85,81,1075
538,86,85,91
539,86,581,443
540,86,551,655
541,86,84,725
542,86,485,865
543,86,411,934
544,86,83,1075
545,87,83,97
546,87,121,167
547,87,86,306
548,87,87,375
549,87,536,588
550,87,279,727
551,87,622,936
552,87,84,1076
553,88,517,306
554,88,576,446
555,88,464,587
556,88,435,727
557,88,342,937
558,88,84,1079
559,89,258,233
560,89,85,303
561,89,433,303
562,89,414,514
563,89,543,583
564,89,342,655
565,89,509,796
566,89,467,936
567,89,84,1077
568,90,81,230
569,90,556,441
570,90,215,724
571,90,617,1005
572,90,81,1074
573,91,508,164
574,91,82,304
575,91,349,445
576,91,84,655
577,91,524,867
578,91,384,1007
579,91,83,1077
580,92,384,163
581,92,236,304
582,92,188,516
583,92,83,795
584,92,83,1075
585,93,453,586
586,93,268,725
587,93,86,1077
588,94,310,304
589,94,378,373
590,94,432,584
591,94,84,654
592,94,152,725
593,94,242,934
594,94,84,1074
595,95,82,585
596,95,247,796
597,95,535,1006
598,95,82,1077
599,96,192,95
600,96,541,235
601,96,258,375
602,96,218,516
603,96,599,656
604,96,405,727
605,96,84,796
606,96,84,1078
607,97,136,236
608,97,596,447
609,97,604,587
610,97,457,656
611,97,371,728
612,97,221,937
613,97,171,1007
614,97,84,1078
615,98,299,229
616,98,164,370
617,98,137,510
618,98,137,651
619,98,584,791
620,98,83,1072
621,99,350,305
622,99,510,516
623,99,324,586
624,99,85,795
625,99,85,865
626,99,456,1006
627,99,86,1075
628,100,154,299
629,100,535,581
630,100,159,721
631,100,610,722
632,100,298,862
633,100,83,1076
634,101,608,375
635,101,537,515
636,101,217,585
637,101,121,724
638,101,83,795
639,101,381,1006
640,101,82,1075
641,102,474,159
642,102,300,230
643,102,480,442
644,102,404,512
645,102,336,652
646,102,243,934
647,102,84,1074
648,103,458,230
649,103,597,301
650,103,532,512
651,103,81,513
652,103,341,650
653,103,620,791
654,103,132,862
655,103,80,1073
656,104,461,301
657,104,558,444
658,104,84,514
659,104,325,654
660,104,177,724
661,104,613,864
662,104,482,935
663,104,85,1075
664,105,284,441
665,105,538,653
666,105,220,862
667,105,84,933
668,105,83,1073
669,106,84,371
670,106,538,722
671,106,83,1076
672,107,233,512
673,107,82,722
674,107,82,1076
675,108,84,582
676,108,500,791
677,108,369,1004
678,108,84,1075
679,109,570,162
680,109,533,373
681,109,267,795
682,109,84,1076
683,110,374,303
684,110,85,514
685,110,240,725
686,110,85,1076
687,111,386,303
688,111,549,515
689,111,251,653
690,111,295,795
691,111,408,936
692,111,83,1078
693,112,229,162
694,112,552,301
695,112,85,372
696,112,326,582
697,112,537,722
698,112,199,791
699,112,85,860
700,112,85,1072
701,113,145,372
702,113,85,654
703,113,387,795
704,113,433,937
705,113,84,1077
706,114,455,157
707,114,574,298
708,114,262,368
709,114,198,506
710,114,83,1072
711,115,355,299
712,115,314,438
713,115,209,789
714,115,84,1071
715,116,82,229
716,116,244,371
717,116,313,792
718,116,196,1003
719,116,82,1073
720,117,593,235
721,117,274,375
722,117,388,516
723,117,624,796
724,117,325,867
725,117,268,937
726,117,81,1078
727,118,576,164
728,118,82,233
729,118,367,442
730,118,83,512
731,118,347,654
732,118,586,798
733,118,83,1077
734,119,238,160
735,119,273,370
736,119,542,581
737,119,339,792
738,119,198,933
739,119,84,1072
740,120,81,162
741,120,445,443
742,120,81,584
743,120,81,654
744,120,457,866
745,120,117,936
746,120,81,1077
747,121,546,230
748,121,343,300
749,121,538,510
750,121,456,650
751,121,418,934
752,121,82,1070
753,122,400,163
754,122,537,303
755,122,466,373
756,122,556,512
757,122,296,585
758,122,84,931
759,122,84,1073
760,123,347,230
761,123,540,371
762,123,551,582
763,123,161,722
764,123,84,1073
765,124,527,234
766,124,554,445
767,124,526,515
768,124,451,585
769,124,462,724
770,124,82,864
771,124,177,935
772,124,82,1075
773,125,468,232
774,125,383,373
775,125,188,724
776,125,198,935
777,125,83,1075
778,126,411,165
779,126,509,728
780,126,83,798
781,126,561,1009
782,126,88,1079
783,127,537,231
784,127,80,301
785,127,206,582
786,127,427,793
787,127,329,863
788,127,118,1003
789,127,80,1074
790,128,195,301
791,128,592,443
792,128,374,513
793,128,277,583
794,128,83,656
795,128,600,937
796,128,258,1009
797,128,84,1079
798,129,595,162
799,129,192,232
800,129,82,303
801,129,157,514
802,129,120,585
803,129,403,795
804,129,446,866
805,129,461,936
806,129,82,1006
807,129,82,1076
808,130,610,304
809,130,327,374
810,130,222,443
811,130,83,516
812,130,84,585
813,130,83,656
814,130,598,938
815,130,446,1008
816,130,83,1078
817,131,522,166
818,131,570,236
819,131,81,307
820,131,330,519
821,131,82,589
822,131,258,729
823,131,82,869
824,131,82,1080
825,132,586,161
826,132,127,231
827,132,83,373
828,132,125,513
829,132,392,653
830,132,233,723
831,132,568,865
832,132,144,934
833,132,84,1075
834,133,84,93
835,133,462,305
836,133,125,375
837,133,334,515
838,133,299,586
839,133,531,797
840,133,82,868
841,133,81,1079
842,134,137,159
843,134,83,370
844,134,83,441
845,134,84,581
846,134,522,792
847,134,211,862
848,134,83,1073
849,135,396,229
850,135,424,371
851,135,317,442
852,135,415,582
853,135,526,651
854,135,154,793
855,135,178,863
856,135,431,934
857,135,84,1074
858,136,415,161
859,136,287,511
860,136,132,791
861,136,143,863
862,136,85,1074
863,137,359,160
864,137,83,231
865,137,423,371
866,137,577,511
867,137,83,581
868,137,303,721
869,137,537,930
870,137,84,1072
871,138,521,164
872,138,84,233
873,138,85,445
874,138,85,515
875,138,598,657
876,138,337,727
877,138,589,867
878,138,551,1010
879,138,84,1077
880,139,596,366
881,139,241,507
882,139,254,858
883,139,84,1070
884,140,252,160
885,140,535,301
886,140,83,371
887,140,300,512
888,140,476,863
889,140,84,931
890,140,83,1074
891,141,366,162
892,141,248,233
893,141,380,376
894,141,159,443
895,141,85,514
896,141,399,654
897,141,85,795
898,141,540,1006
899,141,85,1076
900,142,403,230
901,142,592,440
902,142,265,510
903,142,306,720
904,142,86,790
905,142,218,931
906,142,155,1001
907,142,85,1071
908,143,83,233
909,143,304,374
910,143,83,514
911,143,281,726
912,143,231,866
913,143,83,1076
914,144,545,303
915,144,353,373
916,144,249,443
917,144,253,724
918,144,86,794
919,144,85,1075
920,145,562,165
921,145,414,234
922,145,86,376
923,145,193,445
924,145,87,585
925,145,171,866
926,145,86,1077
927,146,568,301
928,146,614,513
929,146,398,652
930,146,253,934
931,146,83,1075
932,147,87,229
933,147,213,580
934,147,396,862
935,147,87,1073
936,148,372,154
937,148,348,435
938,148,358,506
939,148,138,717
940,148,84,1068
941,149,87,305
942,149,601,515
943,149,535,655
944,149,418,725
945,149,88,795
946,149,87,1076
947,150,553,303
948,150,87,373
949,150,283,513
950,150,544,653
951,150,86,725
952,150,565,726
953,150,292,935
954,150,86,1074
955,151,617,230
956,151,312,301
957,151,82,373
958,151,610,512
959,151,503,582
960,151,83,654
961,151,572,655
962,151,564,796
963,151,273,865
964,151,83,937
965,151,84,1076
966,152,505,164
967,152,84,235
968,152,386,235
969,152,452,306
970,152,482,376
971,152,125,447
972,152,607,587
973,152,174,657
974,152,83,866
975,152,479,866
976,152,83,1078
977,153,530,162
978,153,317,232
979,153,389,303
980,153,324,444
981,153,82,655
982,153,83,794
983,153,83,936
984,153,83,1077
985,154,330,158
986,154,547,370
987,154,222,511
988,154,83,580
989,154,211,722
990,154,589,862
991,154,82,1074
992,155,83,305
993,155,204,445
994,155,498,654
995,155,433,724
996,155,510,867
997,155,82,1079
998,156,279,235
999,156,176,305
1000,156,82,445
1001,156,492,585
1002,156,83,654
1003,156,376,795
1004,156,366,935
1005,156,82,1076
1006,157,515,154
1007,157,563,435
1008,157,84,646
1009,157,83,718
1010,157,288,856
1011,157,84,1067
1012,158,81,161
1013,158,81,301
1014,158,192,371
1015,158,81,440
1016,158,537,581
1017,158,81,652
1018,158,160,792
1019,158,484,932
1020,158,82,1001
1021,158,81,1073
1022,159,208,93
1023,159,86,303
1024,159,86,442
1025,159,557,724
1026,159,86,794
1027,159,86,1077
1028,160,442,304
1029,160,563,515
1030,160,403,584
1031,160,521,725
1032,160,583,795
1033,160,84,864
1034,160,363,1005
1035,160,85,1074
1036,161,227,165
1037,161,184,234
1038,161,83,305
1039,161,133,654
1040,161,428,936
1041,161,83,1077
1042,162,566,235
1043,162,262,445
1044,162,83,513
1045,162,168,585
1046,162,546,725
1047,162,567,866
1048,162,221,937
