aya_id,page,x,y
544,86,109,940
545,86,645,1124
546,86,573,1217
547,86,109,1404
548,87,110,106
549,87,141,199
550,87,104,385
551,87,103,477
552,87,710,757
553,87,372,939
554,87,828,1217
555,87,110,1402
556,88,688,385
557,88,768,569
558,88,642,754
559,88,615,939
560,88,500,1217
561,88,110,1402
562,89,343,292
563,89,109,384
564,89,592,384
565,89,553,662
566,89,723,754
567,89,477,847
568,89,710,1032
569,89,619,1217
570,89,106,1402
571,90,830,384
572,90,724,570
573,90,297,939
574,90,826,1309
575,90,103,1402
576,91,696,199
577,91,109,384
578,91,433,569
579,91,109,847
580,91,664,1125
581,91,471,1309
582,91,110,1402
583,92,551,200
584,92,365,385
585,92,241,662
586,92,107,1032
587,92,107,1402
588,93,613,754
589,93,371,939
590,93,111,1402
591,94,452,385
592,94,592,477
593,94,663,755
594,94,365,847
595,94,348,940
596,94,479,1217
597,94,106,1402
598,95,514,591
599,95,108,754
600,95,294,1032
601,95,753,1309
602,95,108,1402
603,96,277,107
604,96,718,292
605,96,331,477
606,96,285,662
607,96,819,847
608,96,447,939
609,96,109,1032
610,96,109,1402
611,97,177,292
612,97,806,569
613,97,795,754
614,97,619,847
615,97,487,940
616,97,272,1217
617,97,257,1309
618,97,109,1402
619,98,392,292
620,98,253,477
621,98,176,662
622,98,171,847
623,98,795,1032
624,98,105,1402
625,99,111,123
626,99,520,385
627,99,676,662
628,99,438,755
629,99,111,1032
630,99,111,1125
631,99,624,1310
632,99,111,1402
633,100,215,385
634,100,699,755
635,100,193,932
636,100,778,940
637,100,420,1125
638,100,101,1402
639,101,800,477
640,101,213,571
641,101,720,662
642,101,297,754
643,101,149,939
644,101,107,1032
645,101,520,1310
646,101,110,1402
647,102,611,200
648,102,406,292
649,102,683,570
650,102,568,662
651,102,520,847
652,102,319,1217
653,102,105,1402
654,103,620,292
655,103,799,385
656,103,109,662
657,103,726,662
658,103,450,847
659,103,797,1032
660,103,209,1124
661,103,107,1402
662,104,594,384
663,104,761,570
664,104,106,662
665,104,421,847
666,104,236,939
667,104,819,1124
668,104,611,1217
669,104,106,1402
670,105,341,569
671,105,685,847
672,105,377,1124
673,105,106,1217
674,105,107,1402
675,106,110,469
676,106,489,765
677,106,684,948
678,106,109,1401
679,107,111,662
680,107,633,1033
681,107,108,1401
682,108,107,754
683,108,650,1032
684,108,474,1309
685,108,111,1401
686,109,764,199
687,109,711,477
688,109,344,1032
689,109,106,1402
690,110,492,384
691,110,107,569
692,110,107,662
693,110,334,939
694,110,330,1058
695,110,113,1402
696,111,545,384
697,111,642,662
698,111,184,847
699,111,357,1032
700,111,538,1217
701,111,105,1402
702,112,301,199
703,112,756,384
704,112,105,477
705,112,451,754
706,112,715,939
707,112,238,1032
708,112,109,1124
709,112,108,1402
710,113,199,477
711,113,108,847
712,113,554,1032
713,113,768,1217
714,113,109,1402
715,114,598,198
716,114,771,384
717,114,417,477
718,114,259,662
719,114,109,1402
720,115,509,384
721,115,384,569
722,115,292,1032
723,115,107,1402
724,116,110,292
725,116,439,477
726,116,598,1033
727,116,264,1309
728,116,110,1402
729,117,787,292
730,117,248,477
731,117,452,663
732,117,835,1032
733,117,403,1124
734,117,357,1217
735,117,109,1402
736,118,772,199
737,118,149,292
738,118,495,569
739,118,109,660
740,118,550,847
741,118,109,939
742,118,109,1402
743,119,330,199
744,119,368,477
745,119,740,754
746,119,341,1032
747,119,266,1217
748,119,111,1402
749,120,112,199
750,120,561,569
751,120,112,754
752,120,108,847
753,120,537,1124
754,120,154,1217
755,120,109,1402
756,121,727,291
757,121,431,384
758,121,736,662
759,121,631,847
760,121,573,1217
761,121,109,1402
762,122,534,199
763,122,734,384
764,122,633,477
765,122,107,569
766,122,662,754
767,122,248,1217
768,122,109,1402
769,123,428,292
770,123,698,477
771,123,723,754
772,123,204,939
773,123,108,1402
774,124,646,292
