aya_id,page,x,y
731,114,180,293
732,114,32,636
733,115,208,161
734,115,197,247
735,115,124,463
736,115,35,635
737,116,90,121
738,116,181,204
739,116,170,462
740,116,93,590
741,116,37,635
742,117,331,123
743,117,33,205
744,117,78,292
745,117,286,464
746,117,115,507
747,117,89,549
748,117,31,634
749,118,325,75
750,118,50,121
751,118,194,249
752,118,394,330
753,118,193,376
754,118,336,461
755,118,33,635
756,119,128,78
757,119,285,204
758,119,102,292
759,119,391,460
760,119,223,546
761,119,36,636
762,120,303,118
763,120,31,249
764,120,136,375
765,120,32,419
766,120,293,588
767,120,33,634
768,121,128,119
769,121,34,205
770,121,223,289
771,121,30,378
772,121,393,501
773,121,33,632
774,122,315,122
775,122,86,164
776,122,201,250
777,122,165,293
778,122,263,378
779,122,138,420
780,122,30,636
781,123,112,79
782,123,81,165
783,123,255,248
784,123,393,373
785,123,251,460
786,123,37,634
787,124,304,122
788,124,307,251
789,124,292,293
790,124,253,338
791,124,260,423
792,124,64,510
793,124,35,553
794,124,35,638
795,125,57,77
796,125,266,121
797,125,199,206
798,125,91,333
799,125,103,421
800,125,68,549
801,125,31,636
802,126,211,79
803,126,327,421
804,126,83,464
805,126,332,593
806,126,30,635
807,127,308,119
808,127,28,166
809,127,73,291
810,127,56,337
811,127,190,463
812,127,131,506
813,127,32,594
814,127,32,635
815,128,100,167
816,128,331,251
817,128,199,294
818,128,155,340
819,128,49,382
820,128,337,421
821,128,339,552
822,128,138,595
823,128,33,640
824,129,305,78
825,129,32,120
826,129,308,206
827,129,391,334
828,129,393,375
829,129,222,462
830,129,235,505
831,129,201,548
832,129,350,632
833,129,31,633
834,130,330,164
835,130,93,207
836,130,394,293
837,130,260,335
838,130,263,378
839,130,262,421
840,130,259,550
841,130,181,591
842,130,30,635
843,131,282,78
844,131,323,120
845,131,395,205
846,131,186,293
847,131,394,375
848,131,138,421
849,131,391,547
850,131,37,637
851,132,333,77
852,132,54,122
853,132,34,207
854,132,74,294
855,132,223,376
856,132,126,419
857,132,389,504
858,132,77,548
859,132,35,635
860,133,36,36
861,133,274,164
862,133,59,206
863,133,185,291
864,133,154,335
865,133,92,420
866,133,284,463
867,133,390,549
868,133,32,634
869,134,60,78
870,134,32,207
871,134,35,250
872,134,33,335
873,134,321,462
874,134,32,506
875,134,191,546
876,134,32,634
877,135,200,120
878,135,235,205
879,135,168,248
880,135,256,333
881,135,290,375
882,135,33,462
883,135,71,506
884,135,217,548
885,135,33,634
